"company","entity","country","region","municipality","suppliers","government_customers","corporate_customers","website","notes"
"CICOM USA","LLC","US","US-MD","Annapolis","Hacking Team","FBI; DEA",,,"Front company for Hacking Team US/North American sales"
"Cyberpoint International","LLC","US","US-MD","Baltimore","Hacking Team","UAE MOI",,"http://cyberpointllc.com/","https://firstlook.org/theintercept/2015/07/07/baltimore-firm-supplying-united-arab-emirates-surveillance-software-won-special-export-license-state-department/"
"NICE Systems","LTD","IL","IL-TA","Ra'anana","Hacking Team","Uzbekistan NSS; Ethiopia INSA; Bayelsa State Government; Thailand; Azerbaijan; Honduras",,"http://nice.com",
"Horizon Global Group",,"US","US-CA","Rancho Palos Verdes","Hacking Team; NICE Systems","Azerbaijan NSS",,,"HT/NICE fulfillment partner - P.O. Box 4379 Rancho Palos Verdes CA. Registration No.: F754574/D2088053"
"Covert Network Associates","LTD","UK","GB-ENG",,,,,"http://covertnetworkassociates.co.uk/","Attempted selling RCS to UK authorities – https://www.documentcloud.org/documents/2159875-hacking-team-uk-meeting.html"
"Maicrotel","LTDA","CO","CO-CUN","Bogota","Spectra Group","Colombia DIPOL",,"http://www.maicrotel.com","Provided Spectra Group's “Laguna” IMSI catcher to DIPOL in 2005"
"Eagle Commercial","SA","CO",,,"Harris Corporation; Allen-Vanguard; Taser International","Colombia DAS; Colombia Police; Colombia Armed Forces; Colombia US Embassy",,,
"Compañía Commercial Curacao de Colombia","SA","CO","CO-CUN","Bogota","Verint",,,,"aka “La Curacao”; provided & maintained Colombian Police “Integrated Recording System” built by Verint"
"Emerging Technologies Corporation",,"CO",,,"DreamHammer",,,,"Helps develop/sell drone software with DreamHammer"
"STAR Inteligencia & Tecnologia","SA","CO","CO-CUN","Bogota","Smith Meyers Communications",,,,"Integrated components from American and British suppliers to build Colombian Esperanza intercept system"
"Robotec Colombia","SAS","CO","CO-CUN","Bogota","Hacking Team","Colombia DIPOL; Ecuador SENAIN",,"http://www.robotec.com","Robotec Corporation"
"Robotec Costa Rica",,"CR",,"Costa Rica","Hacking Team",,,"http://www.robotec.com","Contact info removed from site after HT hack: +506 6069 9058 costarica@robotec.com"
"Robotec Panama","SA","PA","PA-8","Panama","Hacking Team","Panama President Security",,"http://www.robotecpanama.com","Contact info removed from site after HT hack: +507 294 5086 panama@robotec.com"
"Robotec Peru",,"PE",,,"Hacking Team",,,"http://www.robotec.com/","Contact info removed from site after HT hack: +51 99 370 6671 peru@robotec.com"
"Theola","LTD","BZ","BZ-BZ","Belize City","Hacking Team","Panama President Security; Ecuador SENAIN",,,"Robotec front / fulfillment partner in LATAM"
